       10109        10621        11049        10583
        9773         9798         9772        10301
        9773         9798         9772         9211
        9773         9798         9239         9211
        9745         9210         9184         9156
        2717         3285         2716         3267
        2701         2168         2718         2702
        2689         2701         2168         2702
        2689         2701         2168         2181
        1279          884         1262          872
        2699         2687         2155         2714
        2699         2687         2155         2688
        2699         2155         2167         2688
        2166         2699         2155         2167
        1680         2166         2167         2181
        1680         2166         1691         2181
        1680         1693         2168         2181
        1680         2689         2167         2181
        1680         2689         2168         2181
        4448         5082         5096         4447
        4448         5082         5096         5083
       10581        10582        11046        10600
       10052        10563        10549        10564
       10052        10581        10563        10564
       10562        10563        10549        11002
       10562        11001        11013        11002
       10548        10562        10549        11002
       10548        10562        11001        11002
       11700        11313        11333        11332
       11700        11313        11682        11332
       11701        11700        11716        12005
       11701        11700        11990        12005
       11701        11314        11313        11333
       11701        11700        11313        11333
       11991        11992        12006        12005
       10904        10430        10905        10925
       10904        10430        10429        10925
       10904        10923        11313        10903
       10904        11333        10905        10925
       10904        11313        11333        10905
       10904        10923        10429        10925
       10904        10923        10429        10903
       10904        10923        11333        10925
       10904        10923        11313        11333
       10904        11314        11313        10905
        8167         8166         8190         7582
       10924        10471        10943        10488
       10924        10923        11333        10925
       10470        10922        10941        10429
       10470        10922        10923        10429
       10470        10923        10429        10925
       10470        10924        10923        10925
       10470        10924        10471        10925
       10470        10924        10471        10488
       11312        11663        11664        11682
       11312        11311        11663        11682
       11312        11313        11331        11682
       11312        11311        11331        11682
       11312        11313        11331        10903
       11312        11311        11331        10903
       11312        10904        11313        10903
        5886         5214         5240         5887
        8292         8293         7668         7685
       12283        12272        12093        12284
       12283        12271        12282        12399
       12283        12272        12271        12282
       12283        12295        12107        12282
       12283        12295        12407        12399
       12283        12295        12282        12399
       12092        12283        12107        12282
       12092        12283        12093        12107
       12092        12283        12272        12282
       12092        12283        12272        12093
       11201        11200        11177        10741
       11201        11200        11177        11560
       10609        11055        11037        11056
        8210         8188         8187         8801
        8210         8188         7580         8187
         443          444          223          424
         443          442          223          424
        4794         4197         4168         4141
        8029         8648         8002         8649
        2172         2158         1671         2157
        2172         1233         1671         2189
        2172         1684         1233         2189
         624          643          966          987
         624          988          643          966
         642          624          643          987
       10055        10039        10056        10537
        1010          988          643         1009
       11036        11055        11037        11056
       10570        10057        10552        10569
       10570        11019        10552        10569
        7327         6688         7298         6689
        7354         7356         7383         7355
        7354         7327         6688         6689
        7354         7356         7327         7355
       10465        10444        10464         9922
